ID;MesSiniestro;Marca;Zona;Sexo;EstadoCivil;Edad;Categoria;CostoVehiculo;TipoConductor;Modelo;Testigo;Anio;Pago;Cerrado
11338;Dic;VW;Urbana;Hombre;Casado;52;Sedan;Bajo;4;5mas;No;2024;206.40;1
11339;Dic;Pontiac;Urbana;Hombre;Casado;63;Carga;Medio;1;5mas;No;2024;22.82;1
11340;Dic;Honda;Urbana;Hombre;Casado;37;Sedan;Bajo;4;5mas;No;2024;269.94;1
11341;Sep;Toyota;Urbana;Hombre;Casado;62;Sedan;Bajo;3;5mas;No;2024;47.93;1
11342;Jul;Toyota;Urbana;Mujer;Casado;40;Deportivo;Alto;2;5mas;No;2024;170.32;1
11343;Abr;Toyota;Urbana;Hombre;Soltero;32;Sedan;Bajo;2;5mas;No;2024;186.99;1
11344;May;Chevrolet;Rural;Hombre;Casado;62;Carga;Alto;3;5mas;No;2024;317.73;0
11345;Abr;Pontiac;Urbana;Hombre;Casado;43;Sedan;Medio;1;5mas;No;2024;109.61;1
11346;Dic;Honda;Urbana;Mujer;Casado;39;Sedan;Bajo;4;5mas;No;2024;107.28;1
11347;Sep;Mazda;Rural;Hombre;Casado;27;Deportivo;Medio;1;5mas;No;2024;56.41;0
11348;Sep;Mazda;Urbana;Mujer;Soltero;33;Sedan;Bajo;2;5mas;No;2024;10.09;0
11349;Abr;Toyota;Urbana;Hombre;Casado;48;Sedan;Bajo;4;5mas;No;2024;447.30;1
11350;Ago;Pontiac;Urbana;Hombre;Casado;58;Sedan;Bajo;3;5mas;No;2024;172.08;0
11351;Ago;Chevrolet;Urbana;Hombre;Casado;52;Deportivo;Alto;3;5mas;No;2024;330.44;1
11352;Ago;Toyota;Urbana;Hombre;Casado;45;Deportivo;Bajo;1;5mas;No;2024;155.77;0
11353;Jul;Honda;Urbana;Hombre;Soltero;22;Deportivo;Bajo;4;5mas;No;2024;475.54;0
11354;May;Chevrolet;Urbana;Hombre;Soltero;27;Deportivo;Alto;3;5mas;No;2024;102.33;1
